TITLE,SAMPLE
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,
TIME,
SPECTROMETER/DATA SYSTEM,
LOCALE,
RESOLUTION,
DELTAX,0.482117
XUNITS,1/CM
YUNITS,TRANSMITTANCE
FIRSTX,499.9551
LASTX,4500.0776
NPOINTS,8298
FIRSTY,99.11796
MAXY,103.38758
MINY,18.81786
XYDATA,
499.955,99.118
500.4372,97.0871
500.9193,94.8315
501.4014,93.0531
501.8835,92.3775
502.3656,93.0046
502.8477,94.5457
503.3299,96.2589
503.812,97.5348
504.2941,98.1919
504.7762,98.4083
505.2583,98.482
505.7404,98.63
506.2226,98.9052
506.7047,99.2387
507.1868,99.5671
507.6689,99.9142
508.151,100.336
508.6331,100.806
509.1153,101.183
509.5974,101.277
510.0795,100.996
510.5616,100.434
511.0437,99.8372
511.5258,99.4159
512.008,99.2053
512.4901,99.0832
512.9722,98.912
513.4543,98.6653
513.9365,98.4408
514.4186,98.3615
514.9007,98.4597
515.3828,98.6482
515.8649,98.7899
516.347,98.803
516.8292,98.7086
517.3113,98.5819
517.7934,98.4593
518.2755,98.3109
518.7576,98.1154
519.2397,97.9496
519.7219,97.984
520.204,98.3658
520.6861,99.0825
521.1682,99.9239
521.6503,100.581
522.1324,100.821
522.6146,100.632
523.0967,100.224
523.5788,99.8893
524.0609,99.822
524.543,100.008
525.0251,100.23
525.5073,100.182
525.9894,99.6747
526.4715,98.8045
526.9536,97.9061
527.4357,97.3337
527.9178,97.2787
528.4,97.716
528.8821,98.4332
529.3642,99.1139
529.8463,99.4756
530.3284,99.4013
530.8105,98.9626
531.2927,98.3246
531.7748,97.6348
532.2569,96.9899
532.739,96.4784
533.2211,96.2315
533.7032,96.4099
534.1854,97.1199
534.6675,98.3169
535.1496,99.7787
535.6317,101.181
536.1138,102.242
536.5959,102.846
537.0781,103.044
537.5602,102.935
538.0423,102.551
538.5244,101.846
539.0065,100.804
539.4886,99.5509
539.9708,98.3721
540.4529,97.5938
540.935,97.4071
541.4171,97.7446
541.8992,98.3024
542.3813,98.7118
542.8635,98.7558
543.3456,98.4822
543.8277,98.1487
544.3098,98.0525
544.7919,98.3577
545.274,99.0082
545.7562,99.7657
546.2383,100.345
546.7204,100.562
547.2025,100.401
547.6846,99.9799
548.1667,99.4634
548.6489,98.9885
549.131,98.6301
549.6131,98.3978
550.0952,98.2521
550.5773,98.1364
551.0594,98.0165
551.5416,97.9072
552.0237,97.8628
552.5058,97.9332
552.9879,98.1132
553.47,98.3271
553.9521,98.4713
554.4343,98.4924
554.9164,98.4342
555.3985,98.4072
555.8806,98.504
556.3627,98.7327
556.8448,99.0237
557.327,99.2998
557.8091,99.5462
558.2912,99.8134
558.7733,100.149
559.2554,100.525
559.7375,100.833
560.2197,100.958
560.7018,100.88
561.1839,100.692
561.666,100.525
562.1481,100.436
562.6302,100.357
563.1124,100.158
563.5945,99.7583
564.0766,99.2153
564.5587,98.6987
565.0408,98.3803
565.5229,98.3261
566.0051,98.4622
566.4872,98.628
566.9693,98.6792
567.4514,98.5798
567.9335,98.4213
568.4156,98.3596
568.8978,98.5149
569.3799,98.8997
569.862,99.4083
570.3441,99.873
570.8262,100.157
571.3083,100.235
571.7905,100.205
572.2726,100.227
572.7547,100.428
573.2368,100.818
573.7189,101.275
574.201,101.588
574.6832,101.538
575.1653,100.993
575.6474,99.9868
576.1295,98.7541
576.6116,97.6498
577.0938,96.9881
577.5759,96.8977
578.058,97.2886
578.5401,97.9241
579.0222,98.5401
579.5043,98.9555
579.9865,99.1306
580.4686,99.1403
580.9507,99.0778
581.4328,98.9714
581.9149,98.7904
582.397,98.5231
582.8792,98.2395
583.3613,98.0792
583.8434,98.172
584.3255,98.5449
584.8076,99.0805
585.2897,99.571
585.7719,99.8405
586.254,99.8363
586.7361,99.6249
587.2182,99.3159
587.7003,98.9882
588.1824,98.662
588.6646,98.3188
589.1467,97.9461
589.6288,97.5707
590.1109,97.2614
590.593,97.0979
591.0751,97.1221
591.5573,97.2973
592.0394,97.5133
592.5215,97.649
593.0036,97.6441
593.4857,97.5156
593.9678,97.3075
594.45,97.023
594.9321,96.597
595.4142,95.9419
595.8963,95.0391
596.3784,94
596.8605,93.0342
597.3427,92.3428
597.8248,92.0152
598.3069,92.0016
598.789,92.1673
599.2711,92.3798
599.7532,92.5631
600.2354,92.683
600.7175,92.6855
601.1996,92.4572
601.6817,91.8562
602.1638,90.7936
602.6459,89.3003
603.1281,87.529
603.6102,85.6895
604.0923,83.9593
604.5744,82.4249
605.0565,81.0855
605.5386,79.9065
606.0208,78.8821
606.5029,78.0628
606.985,77.5338
607.4671,77.3632
607.9492,77.5565
608.4313,78.0484
608.9135,78.7361
609.3956,79.536
609.8777,80.4291
610.3598,81.4655
610.8419,82.7189
611.324,84.2155
611.8062,85.8822
612.2883,87.5468
612.7704,88.9972
613.2525,90.0701
613.7346,90.7227
614.2167,91.0456
614.6989,91.2103
615.181,91.3836
615.6631,91.6612
616.1452,92.0431
616.6273,92.4531
617.1094,92.7907
617.5916,92.997
618.0737,93.0981
618.5558,93.1905
619.0379,93.3804
619.52,93.7234
620.0021,94.199
620.4843,94.7214
620.9664,95.1814
621.4485,95.5012
621.9306,95.668
622.4127,95.7197
622.8948,95.6936
623.377,95.5851
623.8591,95.3508
624.3412,94.9539
624.8233,94.4131
625.3054,93.8114
625.7875,93.2453
626.2697,92.7563
626.7518,92.3037
627.2339,91.8048
627.716,91.2097
628.1981,90.5514
628.6802,89.9262
629.1624,89.412
629.6445,88.9823
630.1266,88.488
630.6087,87.7305
631.0908,86.5877
631.5729,85.1081
632.0551,83.5078
